lat;lon;ele;time;temperature
47.507531662;12.121813316;625.4;2026-06-28T09:21:56.000Z;31.0
47.507536523;12.121816082;625.4;2026-06-28T09:21:57.000Z;31.0
47.507579187;12.12185313;625.4;2026-06-28T09:22:07.000Z;31.0
47.507587988;12.121840976;625.4;2026-06-28T09:22:08.000Z;31.0
47.507604836;12.121825889;625.4;2026-06-28T09:22:09.000Z;31.0
47.507623779;12.121806862;625.4;2026-06-28T09:22:10.000Z;31.0
47.507629981;12.121780543;625.2;2026-06-28T09:22:11.000Z;31.0
47.50763719;12.121757576;625.2;2026-06-28T09:22:12.000Z;31.0
47.507647164;12.121736286;624.8;2026-06-28T09:22:13.000Z;31.0
47.507656552;12.121710051;624.6;2026-06-28T09:22:14.000Z;31.0
47.507672813;12.121683899;624.4;2026-06-28T09:22:15.000Z;31.0
47.507696953;12.121658754;624.2;2026-06-28T09:22:16.000Z;31.0
47.507723523;12.121629752;624.0;2026-06-28T09:22:17.000Z;31.0
47.507749842;12.12159547;623.6;2026-06-28T09:22:18.000Z;31.0
47.507776832;12.121554986;623.4;2026-06-28T09:22:19.000Z;31.0
47.507807342;12.121510059;623.0;2026-06-28T09:22:20.000Z;31.0
47.507838774;12.12145918;622.8;2026-06-28T09:22:21.000Z;31.0
47.507868279;12.121405536;622.4;2026-06-28T09:22:22.000Z;31.0
47.507898957;12.121353485;622.2;2026-06-28T09:22:23.000Z;31.0
47.507933322;12.121303696;621.6;2026-06-28T09:22:24.000Z;31.0
47.507968107;12.121255081;621.4;2026-06-28T09:22:25.000Z;31.0
47.508003479;12.121207304;620.8;2026-06-28T09:22:26.000Z;31.0
47.508034827;12.121163802;620.4;2026-06-28T09:22:27.000Z;31.0
47.508062068;12.121117366;619.8;2026-06-28T09:22:28.000Z;31.0
47.508095345;12.12106959;619.4;2026-06-28T09:22:29.000Z;31.0
47.508128537;12.121019969;619.0;2026-06-28T09:22:30.000Z;31.0
47.508158125;12.120966241;618.6;2026-06-28T09:22:31.000Z;31.0
47.508188635;12.12091486;618.0;2026-06-28T09:22:32.000Z;31.0
47.508224007;12.120874962;617.6;2026-06-28T09:22:33.000Z;31.0
47.508264491;12.120856689;617.0;2026-06-28T09:22:34.000Z;31.0
47.508307407;12.120863311;616.6;2026-06-28T09:22:35.000Z;31.0
47.50835334;12.120898264;616.2;2026-06-28T09:22:36.000Z;31.0
47.508398183;12.120946711;615.6;2026-06-28T09:22:37.000Z;31.0
47.50844554;12.120995745;615.0;2026-06-28T09:22:38.000Z;31.0
47.508490887;12.121043606;614.6;2026-06-28T09:22:39.000Z;31.0
47.508538831;12.121082917;614.0;2026-06-28T09:22:40.000Z;31.0
47.50859214;12.121107476;613.6;2026-06-28T09:22:41.000Z;31.0
47.508648047;12.121121725;613.2;2026-06-28T09:22:42.000Z;31.0
47.508702278;12.121134382;613.0;2026-06-28T09:22:43.000Z;31.0
47.508750893;12.12114553;612.6;2026-06-28T09:22:44.000Z;31.0
47.508794479;12.121153073;612.2;2026-06-28T09:22:45.000Z;31.0
47.508834964;12.12115827;611.8;2026-06-28T09:22:46.000Z;31.0
47.508872431;12.12116112;611.2;2026-06-28T09:22:47.000Z;31.0
47.50891082;12.121149218;610.8;2026-06-28T09:22:48.000Z;31.0
47.508947281;12.121125078;610.6;2026-06-28T09:22:49.000Z;31.0
47.50898106;12.121092472;610.2;2026-06-28T09:22:50.000Z;31.0
47.509012492;12.121053413;610.0;2026-06-28T09:22:51.000Z;31.0
47.509046691;12.121014437;610.0;2026-06-28T09:22:52.000Z;31.0
47.5090829;12.120969845;609.8;2026-06-28T09:22:53.000Z;31.0
47.509121122;12.120923996;609.4;2026-06-28T09:22:54.000Z;31.0
47.509161104;12.120880494;609.2;2026-06-28T09:22:55.000Z;31.0
47.509202007;12.120837998;609.2;2026-06-28T09:22:56.000Z;31.0
47.509248946;12.120796675;608.8;2026-06-28T09:22:57.000Z;31.0
47.509296471;12.120755771;608.4;2026-06-28T09:22:58.000Z;31.0
47.509341985;12.120712688;607.8;2026-06-28T09:22:59.000Z;31.0
47.509383643;12.120669521;607.4;2026-06-28T09:23:00.000Z;31.0
47.509425385;12.120629037;606.8;2026-06-28T09:23:01.000Z;31.0
47.509469474;12.120592743;606.2;2026-06-28T09:23:02.000Z;32.0
47.509512054;12.120557791;605.8;2026-06-28T09:23:03.000Z;31.0
47.509552957;12.120529125;605.4;2026-06-28T09:23:04.000Z;32.0
47.509594867;12.120497525;605.2;2026-06-28T09:23:05.000Z;32.0
47.509630071;12.120453184;604.6;2026-06-28T09:23:06.000Z;32.0
47.509665778;12.120400714;604.0;2026-06-28T09:23:07.000Z;32.0
47.509702658;12.120344974;603.8;2026-06-28T09:23:08.000Z;32.0
47.509737527;12.120289821;603.4;2026-06-28T09:23:09.000Z;32.0
47.5097703;12.120237099;603.2;2026-06-28T09:23:10.000Z;32.0
47.509799888;12.120181695;602.8;2026-06-28T09:23:11.000Z;32.0
47.50982889;12.120127715;602.6;2026-06-28T09:23:12.000Z;32.0
47.509858478;12.120075496;602.0;2026-06-28T09:23:13.000Z;32.0
47.509882953;12.120022522;601.8;2026-06-28T09:23:14.000Z;32.0
47.509905249;12.119974829;601.4;2026-06-28T09:23:15.000Z;32.0
47.509925533;12.119928729;601.2;2026-06-28T09:23:16.000Z;32.0
47.50993425;12.119880784;600.8;2026-06-28T09:23:17.000Z;32.0
